tag,beta,N,T,epsilon,mu,seed,variance,engagement,update_rate,bimodality,n_clusters
N_sweep,0,400,4000,0.15,0.3,4,0.07425371860193136,0.7435463347471903,0.28975,0.21371357182030354,49
N_sweep,0,400,4000,0.15,0.3,5,0.08317247970275517,0.7334865307253065,0.284,0.2186587720408271,46
N_sweep,0,400,4000,0.15,0.3,6,0.07741080988514615,0.7395213742931588,0.284,0.21519651018516547,48
N_sweep,0,400,4000,0.15,0.3,7,0.07863577092263316,0.7377738255398301,0.293,0.21414608156114512,49
N_sweep,0,400,4000,0.15,0.3,8,0.07348473017108474,0.7439831590163466,0.28925,0.21444153041032737,43
N_sweep,0,400,4000,0.15,0.3,9,0.07815154832536014,0.7384453432715108,0.28825,0.21604964270789306,39
N_sweep,0,400,4000,0.15,0.3,10,0.0790266047901223,0.736337950487001,0.29475,0.2163789188702199,55
N_sweep,0,400,4000,0.15,0.3,11,0.07256089918880403,0.7434904428339233,0.28775,0.2132308908779706,49
N_sweep,0,400,4000,0.15,0.3,12,0.07628359409073412,0.7415662691632297,0.3005,0.21878700592236264,42
N_sweep,0,400,4000,0.15,0.3,13,0.07512185625231535,0.7414991193141748,0.271,0.21308235717037105,53
N_sweep,0,400,4000,0.15,0.3,14,0.06840093292400257,0.7490442314321055,0.28925,0.22212878430267033,45
N_sweep,0,400,4000,0.15,0.3,15,0.0726846638286577,0.7461860172560811,0.30125,0.21556683837572252,48
N_sweep,0,400,4000,0.15,0.3,16,0.07612385539910474,0.7356608922254791,0.27975,0.2159645611480302,40
N_sweep,0,400,4000,0.15,0.3,17,0.07973570569630425,0.7364904814173879,0.27425,0.2141063850722427,50
N_sweep,0,400,4000,0.15,0.3,18,0.07343495954387579,0.7457669033529365,0.30075,0.22181973108003064,43
N_sweep,0,400,4000,0.15,0.3,19,0.07272654903228708,0.7459885997828188,0.2905,0.20619501249291378,50
N_sweep,0,400,4000,0.15,0.3,20,0.07038850635528006,0.7466096986799683,0.28475,0.21086230604699988,53
N_sweep,0,400,4000,0.15,0.3,21,0.07536350765763503,0.7423869796677647,0.288,0.21657152199080562,50
N_sweep,0,400,4000,0.15,0.3,22,0.07845600135211322,0.7350704014703002,0.269,0.20925187261787384,54
N_sweep,0,400,4000,0.15,0.3,23,0.06838318549817642,0.7521156425692422,0.3105,0.21279764099693987,45
N_sweep,0,400,4000,0.15,0.3,24,0.07379209324674627,0.7449160629364246,0.30375,0.2208160399244344,40
N_sweep,0,400,4000,0.15,0.3,25,0.07559066930880676,0.7462325512665348,0.30125,0.21453703392181409,37
N_sweep,0,400,4000,0.15,0.3,26,0.07545453648502087,0.7422090445155429,0.2975,0.21433815821613994,45
N_sweep,0,400,4000,0.15,0.3,27,0.06975410676082004,0.7485061143076781,0.2885,0.20722115992612017,47
N_sweep,0,400,4000,0.15,0.3,28,0.08221496202658762,0.7330398167004597,0.269,0.21760765550330965,53
N_sweep,0,400,4000,0.15,0.3,29,0.07338801531558818,0.7442668336502388,0.29025,0.21533160173146682,57
N_sweep,5,50,4000,0.15,0.3,0,0.07620075547368158,0.9268801588798534,0.751,0.2184707163661801,4
N_sweep,5,50,4000,0.15,0.3,1,0.06918737150500483,0.9236516918682698,0.73375,0.21776270787603813,4
N_sweep,5,50,4000,0.15,0.3,2,0.0772337970706845,0.919805102790726,0.69525,0.23937360075173555,4
N_sweep,5,50,4000,0.15,0.3,3,0.04354067615407256,0.9303875449328428,0.77175,0.26442204122483826,3
N_sweep,5,50,4000,0.15,0.3,4,0.061362825032954545,0.8940012579901201,0.56075,0.2034269035053256,5
N_sweep,5,50,4000,0.15,0.3,5,0.07749107618432054,0.9073309710603545,0.64475,0.2071911790426553,4
N_sweep,5,50,4000,0.15,0.3,6,0.07434142411849169,0.9224510484134616,0.72525,0.2589235998869634,4
N_sweep,5,50,4000,0.15,0.3,7,0.07732797729251886,0.9175555028927734,0.70675,0.2050127449216838,4
N_sweep,5,50,4000,0.15,0.3,8,0.08191596583443696,0.927181737147309,0.7505,0.23495158647260755,4
N_sweep,5,50,4000,0.15,0.3,9,0.06633008078010716,0.9212750200166291,0.7325,0.22268519504215725,4
N_sweep,5,50,4000,0.15,0.3,10,0.07711643689293952,0.926572997343194,0.7715,0.19703320752633957,3
N_sweep,5,50,4000,0.15,0.3,11,0.0700790682471231,0.9288030065655989,0.78275,0.19824207947023934,3
N_sweep,5,50,4000,0.15,0.3,12,0.06943218907623963,0.923689792064252,0.7645,0.20664321400654867,3
N_sweep,5,50,4000,0.15,0.3,13,0.07356925509426014,0.9286706019407922,0.76875,0.24280710695155883,3
N_sweep,5,50,4000,0.15,0.3,14,0.07347626532660347,0.9167007636285405,0.681,0.22193750090366635,4
N_sweep,5,50,4000,0.15,0.3,15,0.08991223098840875,0.9289486348279645,0.78975,0.21827186252344152,3
N_sweep,5,50,4000,0.15,0.3,16,0.06812118621730509,0.9199035117698338,0.72925,0.20702405813858424,4
N_sweep,5,50,4000,0.15,0.3,17,0.07188569889950053,0.9104208749393078,0.6715,0.20543200000181774,4
N_sweep,5,50,4000,0.15,0.3,18,0.08198834226810087,0.9341821224251233,0.78975,0.23741011510845494,3
N_sweep,5,50,4000,0.15,0.3,19,0.078067334585296,0.9235999551808198,0.75075,0.22458005951005586,3
N_sweep,5,50,4000,0.15,0.3,20,0.08739095491520425,0.9412270040783262,0.8135,0.27278492167127544,3
N_sweep,5,50,4000,0.15,0.3,21,0.06928735355887677,0.9250958172849695,0.75325,0.2148404161187895,3
N_sweep,5,50,4000,0.15,0.3,22,0.06851737448366105,0.9367984427066613,0.7975,0.2832421029330812,3
