beta,N,T,seed,variance,engagement,update_rate,bimodality,n_clusters
0,400,16000,16,0.05902310661935089,0.7773700513705579,0.399375,0.2435135283390233,12
0,400,16000,17,0.058316390123258295,0.7685741418411338,0.376625,0.2619838852228443,11
0,400,16000,18,0.06576206880874111,0.7642090473123662,0.3316875,0.20508207398371817,6
0,400,16000,19,0.06542567675060254,0.7559981836239583,0.325125,0.23594818956148772,14
0,400,16000,20,0.06642233616591606,0.7662334209779741,0.3911875,0.24451500836669787,13
0,400,16000,21,0.0738293024512201,0.7555586133042883,0.324625,0.22647399496291626,4
0,400,16000,22,0.05359768394430461,0.7759825313077167,0.37525,0.2546967038963496,13
0,400,16000,23,0.06916153117225064,0.7611509595333568,0.3696875,0.24374637614234684,10
0,400,16000,24,0.06188085738974235,0.7616557298389578,0.3138125,0.23026542058864863,5
0,400,16000,25,0.06082760726397506,0.7683207947169624,0.321875,0.2230630467716394,3
0,400,16000,26,0.05301493500761944,0.7792326619872811,0.32625,0.21411022563011808,3
0,400,16000,27,0.06402213555136704,0.7692886616304886,0.3331875,0.235165759583633,5
0,400,16000,28,0.06964377388670194,0.7581126366396106,0.3405,0.2450886487768221,7
0,400,16000,29,0.0677580096743143,0.7648341895357091,0.3711875,0.25332625572852324,12
5,50,2000,0,0.08964665017525458,0.9041088520839,0.623,0.21307877469643943,5
5,50,2000,1,0.06262244821705645,0.9119784574513417,0.6915,0.21803011656969348,4
5,50,2000,2,0.0673015049377494,0.9044027701563976,0.634,0.18800154013970366,4
5,50,2000,3,0.08931504957235478,0.9210248361234711,0.7695,0.1997863021555649,4
5,50,2000,4,0.0564810976295239,0.9148868324751193,0.7295,0.18665200673623333,4
5,50,2000,5,0.06694429138299306,0.9152865272455238,0.736,0.24234575897793315,3
5,50,2000,6,0.05604835549510379,0.9126534313353923,0.7195,0.20867798681172522,3
5,50,2000,7,0.08488325782960088,0.9241819530219382,0.7675,0.2243645940495466,3
5,50,2000,8,0.08490904992388064,0.9063939364385232,0.6635,0.233897037451793,4
5,50,2000,9,0.06357117653555416,0.9156491186382533,0.74,0.20204072237194706,3
5,50,2000,10,0.07175480802379823,0.9001036186234611,0.662,0.20411253207361513,4
5,50,2000,11,0.07798516186234287,0.9120525372597427,0.7425,0.21335465914697913,3
5,50,2000,12,0.07112948783290585,0.9157286531770703,0.742,0.2081380895571639,3
5,50,2000,13,0.06621922858846928,0.9109859369070336,0.686,0.24911437465718636,4
5,50,2000,14,0.07407748754060722,0.8904059925941032,0.574,0.19405694878031587,5
5,50,2000,15,0.0844494425740582,0.933733714196355,0.789,0.2503677799737974,4
5,50,2000,16,0.0690142864104826,0.9164548277595758,0.69,0.23039814054732607,4
5,50,2000,17,0.08793081795401259,0.911979910994054,0.678,0.22089066969751406,4
5,50,2000,18,0.06994932631665236,0.9174512421123912,0.749,0.29254581108971744,3
5,50,2000,19,0.08103286419411258,0.899325902718331,0.649,0.21600440511518695,4
5,50,2000,20,0.05924648451239677,0.9136283663988018,0.731,0.18331441717590424,3
5,50,2000,21,0.0928635370395993,0.916094872319038,0.7265,0.2851964122642331,4
5,50,2000,22,0.05923133707549997,0.9157871077850765,0.72,0.21665738870639528,3
5,50,2000,23,0.06526007657876194,0.9186471338168987,0.7435,0.19975018338876918,3
5,50,2000,24,0.07392400668476351,0.9240623085041048,0.756,0.22926499258834548,3
5,50,2000,25,0.05168571995947718,0.9193459732658096,0.744,0.20619688631033073,4
5,50,2000,26,0.06476990595461453,0.9264844405304595,0.7575,0.2929848074675424,4
5,50,2000,27,0.060085797994079926,0.9454135299513949,0.861,0.2704884276964124,3
5,50,2000,28,0.06839242882666552,0.9211966024406844,0.7465,0.24295761280014486,3
5,50,2000,29,0.08498007514599654,0.8961554553962136,0.6285,0.2064527545226781,4
5,100,4000,0,0.06485597402977619,0.9187540554301251,0.7455,0.20998431087223998,3
5,100,4000,1,0.06994064243972914,0.9128038873877852,0.71975,0.21360165929438432,4
5,100,4000,2,0.0644650070226186,0.9175700007417443,0.73125,0.21292740027423288,4
5,100,4000,3,0.07504633511422326,0.9010946157577192,0.64,0.20984896021369662,4
5,100,4000,4,0.055942897158516115,0.907248176584756,0.6685,0.20749964443987187,4
5,100,4000,5,0.07957726160968276,0.9209933421441431,0.76125,0.20976795110461838,4
5,100,4000,6,0.06835308965627673,0.9300313141753725,0.78625,0.24058338037289864,3
5,100,4000,7,0.08501672054385855,0.9178610852360787,0.72975,0.22249157272504924,4
5,100,4000,8,0.0784857890444492,0.9220988661056124,0.74575,0.23914350000847456,4
5,100,4000,9,0.06180061125859778,0.9422051498459597,0.8545,0.24443943189509043,3
5,100,4000,10,0.06339715344993274,0.9166022895560583,0.73975,0.21081122334886518,3
5,100,4000,11,0.06864621604050977,0.9031773733557324,0.644,0.20490428359673638,4
5,100,4000,12,0.07090023424754985,0.9176333645547592,0.7355,0.22449476954379358,4
5,100,4000,13,0.07046730427080929,0.9067930041632452,0.66075,0.21161297335886325,4
5,100,4000,14,0.061738723542055514,0.9175542198289682,0.7335,0.2401681287436441,4
5,100,4000,15,0.06574112399480767,0.9042726644747013,0.66175,0.21392914896164478,4
5,100,4000,16,0.05995590655665046,0.9156035335903759,0.7245,0.22034275353860697,3
5,100,4000,17,0.07966598945459573,0.9221477910148279,0.76025,0.22439501351532812,3
5,100,4000,18,0.07296908880255124,0.908533104243487,0.68425,0.22654484437786843,4
5,100,4000,19,0.07388438764890928,0.9208474254244511,0.7555,0.2196860652948282,3
5,100,4000,20,0.06153952255652509,0.9228364567607656,0.76275,0.2088822406022659,3
5,100,4000,21,0.06115322092750576,0.9206152257354028,0.723,0.228678846798413,3
5,100,4000,22,0.06826401649995305,0.9166220860947801,0.74075,0.2292469693785715,3
5,100,4000,23,0.07156708950503463,0.9082913036581791,0.66975,0.20735784789418082,4
5,100,4000,24,0.08225391807336312,0.9099377225750609,0.678,0.21344163106062328,4
5,100,4000,25,0.07322707001080843,0.9167591746122434,0.7435,0.21880516760692612,3
5,100,4000,26,0.06991869945227996,0.9036903976092817,0.646,0.2289441293162198,4
5,100,4000,27,0.0720866858450704,0.9231164615658468,0.77,0.3321461077717516,3
5,100,4000,28,0.07218193937708796,0.9233384390294781,0.76075,0.2221173395504262,4
5,100,4000,29,0.07272427140631386,0.9207942197766759,0.75175,0.22841822255084374,4
5,200,8000,0,0.07316528464858264,0.91814014584364,0.736625,0.22586067205297844,4
5,200,8000,1,0.0675496081336418,0.9186662764229522,0.742,0.24067746560271083,3
5,200,8000,2,0.061467076741185823,0.92806735441834,0.80875,0.2490330463252989,2
5,200,8000,3,0.06803326757537059,0.91775776311784,0.742375,0.23119813838430234,3
5,200,8000,4,0.066649716910488,0.9149889377837813,0.7335,0.22932976841380348,3
5,200,8000,5,0.07349612562400423,0.90260780118225,0.644625,0.2165253518004927,4
5,200,8000,6,0.07700996155463828,0.9217163776795977,0.7515,0.2332513952085749,3
5,200,8000,7,0.0695609577324432,0.9148466099075884,0.723125,0.2237558247245264,4
5,200,8000,8,0.07912767243272083,0.924475070042745,0.7735,0.2218420876724927,3
5,200,8000,9,0.062413421809253716,0.9189056943794393,0.756,0.21108272394828584,4
5,200,8000,10,0.06871387257347102,0.9165421552531221,0.728,0.2458290001590362,5
5,200,8000,11,0.07129078675731548,0.9185903115235364,0.745125,0.23869524065220032,3
5,200,8000,12,0.06900943277112079,0.9182196412425434,0.741625,0.2362517171062405,4
5,200,8000,13,0.06636537963357987,0.9132167390450919,0.7265,0.21594008770746143,3
5,200,8000,14,0.06509518918440411,0.9259413183669314,0.773625,0.25977474762407504,4
5,200,8000,15,0.061814237810050444,0.9320617424412748,0.825375,0.35243209132689585,4
5,200,8000,16,0.0623883663936801,0.9159287089333804,0.72025,0.22791950010222112,4
5,200,8000,17,0.06373700729155855,0.9172633247580391,0.741375,0.2317412379259552,3
