tag,beta,N,T,epsilon,mu,seed,variance,engagement,update_rate,bimodality,n_clusters
beta_sweep,2,100,4000,0.15,0.3,0,0.07645773067162417,0.8303747831340136,0.45,0.21636050460447642,4
beta_sweep,2,100,4000,0.15,0.3,1,0.06410406091443442,0.8393757955242747,0.50875,0.2359652348449999,4
beta_sweep,2,100,4000,0.15,0.3,2,0.07242943965751213,0.8338136803304472,0.5115,0.2436967582963587,4
beta_sweep,2,100,4000,0.15,0.3,3,0.054763559069852585,0.844996294436444,0.54175,0.3440766482359326,4
beta_sweep,2,100,4000,0.15,0.3,4,0.07776258334620785,0.8337018144568389,0.49675,0.22463056669617756,6
beta_sweep,2,100,4000,0.15,0.3,5,0.06730369031872965,0.8426614162970977,0.51525,0.22688629390111378,4
beta_sweep,2,100,4000,0.15,0.3,6,0.06798095757288673,0.8231282831012148,0.40775,0.20502976041395216,4
beta_sweep,2,100,4000,0.15,0.3,7,0.07775247170356797,0.8233637141554777,0.41775,0.2097396672010987,4
beta_sweep,2,100,4000,0.15,0.3,8,0.06229066627453876,0.8291416023018064,0.4175,0.2284385053630888,4
beta_sweep,2,100,4000,0.15,0.3,9,0.07505299500934799,0.8295441853131946,0.50075,0.21735488900293223,4
beta_sweep,2,100,4000,0.15,0.3,10,0.06376843567502401,0.8480379292293124,0.5465,0.22211213254904763,4
beta_sweep,2,100,4000,0.15,0.3,11,0.05520576409801696,0.8381742072730367,0.4995,0.2533785519299095,3
beta_sweep,2,100,4000,0.15,0.3,12,0.0575902976098074,0.8327837547623804,0.438,0.19681447415988362,4
beta_sweep,2,100,4000,0.15,0.3,13,0.05794335473858357,0.8533590315265706,0.55925,0.2034123056692501,3
beta_sweep,2,100,4000,0.15,0.3,14,0.06973811334308558,0.8339945971037919,0.514,0.20078879358029839,3
beta_sweep,2,100,4000,0.15,0.3,15,0.0678986750084865,0.8397036238686466,0.50175,0.2204173401729205,4
beta_sweep,2,100,4000,0.15,0.3,16,0.05239017237798496,0.8604305247374088,0.604,0.2991630304369656,4
beta_sweep,2,100,4000,0.15,0.3,17,0.07890306765514307,0.8390185336432997,0.5365,0.21622232730702462,3
beta_sweep,2,100,4000,0.15,0.3,18,0.06673616716937587,0.8356922655578769,0.5145,0.20061625528660015,4
beta_sweep,2,100,4000,0.15,0.3,19,0.07643231110462084,0.8338943611886673,0.5115,0.2353231888742223,3
beta_sweep,2,100,4000,0.15,0.3,20,0.07085848594709238,0.8359526352680714,0.50225,0.22105236256580227,3
beta_sweep,2,100,4000,0.15,0.3,21,0.05825598413683414,0.8334523082255003,0.469,0.23012535086503594,3
beta_sweep,2,100,4000,0.15,0.3,22,0.07596870107920102,0.8307993607189496,0.5125,0.21083152974350225,3
beta_sweep,2,100,4000,0.15,0.3,23,0.07307168017671345,0.8312491876802184,0.4615,0.21614942169248325,4
beta_sweep,2,100,4000,0.15,0.3,24,0.06634860784378104,0.844034733474897,0.52,0.20962468509484522,4
beta_sweep,2,100,4000,0.15,0.3,25,0.062320974129182014,0.8361854184486762,0.50025,0.21334113683513456,3
beta_sweep,2,100,4000,0.15,0.3,26,0.06641835688749595,0.8455571044157786,0.53225,0.23061838434991483,3
beta_sweep,2,100,4000,0.15,0.3,27,0.07225162429444142,0.8249861586742049,0.41925,0.23182180043601872,4
beta_sweep,2,100,4000,0.15,0.3,28,0.07476393956822915,0.8292972238760554,0.48275,0.2224797441131696,5
beta_sweep,2,100,4000,0.15,0.3,29,0.07248881228148223,0.83885139943685,0.5085,0.2156250335114423,4
beta_sweep,5,100,4000,0.15,0.3,0,0.07764517445175753,0.922232483998603,0.7615,0.21688377840881318,4
beta_sweep,5,100,4000,0.15,0.3,1,0.07149946550187251,0.9086237182083391,0.69375,0.2235909603655062,4
beta_sweep,5,100,4000,0.15,0.3,2,0.07189540093145609,0.9030115054030771,0.63175,0.22515830388970282,4
beta_sweep,5,100,4000,0.15,0.3,3,0.07599260788640294,0.9281232168013762,0.77725,0.22922877569181052,3
beta_sweep,5,100,4000,0.15,0.3,4,0.06969926208824115,0.9223148513822783,0.765,0.21020449213379935,3
beta_sweep,5,100,4000,0.15,0.3,5,0.06917114251358895,0.9061485262787177,0.67225,0.21146051480370492,4
beta_sweep,5,100,4000,0.15,0.3,6,0.07819094917539586,0.924961479980208,0.7675,0.22820139395441233,3
beta_sweep,5,100,4000,0.15,0.3,7,0.0607815704323873,0.9148547025376143,0.721,0.2616897710904379,3
beta_sweep,5,100,4000,0.15,0.3,8,0.06879938142720063,0.924829173034757,0.74575,0.22695037217263694,4
beta_sweep,5,100,4000,0.15,0.3,9,0.07389557170121092,0.9271890313224194,0.77975,0.2461700626133445,4
beta_sweep,5,100,4000,0.15,0.3,10,0.05468578429006963,0.9149400124464869,0.736,0.1976719836657495,3
beta_sweep,5,100,4000,0.15,0.3,11,0.06059458829685771,0.906693914621222,0.69925,0.1886734989539039,3
beta_sweep,5,100,4000,0.15,0.3,12,0.08097390818800582,0.918186210862934,0.735,0.2334177524240017,4
beta_sweep,5,100,4000,0.15,0.3,13,0.09309039161889957,0.9255940629649552,0.77975,0.24198846544066255,3
beta_sweep,5,100,4000,0.15,0.3,14,0.06133084632312311,0.9176014252573386,0.73475,0.2616229159463918,3
beta_sweep,5,100,4000,0.15,0.3,15,0.07269362843133154,0.900739917037153,0.644,0.20416610898618817,4
beta_sweep,5,100,4000,0.15,0.3,16,0.07913023169369382,0.9051360468573907,0.64625,0.21620133451644996,4
beta_sweep,5,100,4000,0.15,0.3,17,0.05221585741059604,0.9150885915823516,0.739,0.1918271649004456,3
beta_sweep,5,100,4000,0.15,0.3,18,0.07192126308342794,0.918156967342903,0.73875,0.21918893622695246,3
beta_sweep,5,100,4000,0.15,0.3,19,0.06189154624109543,0.9239708314925698,0.75875,0.2083258237557043,3
beta_sweep,5,100,4000,0.15,0.3,20,0.0628830403327833,0.9191968250285175,0.72475,0.23303264496838344,4
beta_sweep,5,100,4000,0.15,0.3,21,0.06669383756868628,0.9116155694498067,0.69225,0.21743641366252867,4
beta_sweep,5,100,4000,0.15,0.3,22,0.06159537521297837,0.9115722088717004,0.7195,0.19773792188771752,3
beta_sweep,5,100,4000,0.15,0.3,23,0.07616704651765079,0.9077400974882611,0.6895,0.24005020139942834,3
beta_sweep,5,100,4000,0.15,0.3,24,0.09179020541619687,0.9237267096494879,0.768,0.22271379043024647,4
