tag,beta,epsilon,N,T,mu,seed,variance,engagement,update_rate,bimodality,n_clusters
eps_sweep,0,0.2,100,4000,0.3,24,0.048758165269895876,0.7904847373702215,0.44425,0.2868620593315895,2
eps_sweep,0,0.2,100,4000,0.3,25,0.03295550754642379,0.8238305138305596,0.483,0.24904048632372183,2
eps_sweep,0,0.2,100,4000,0.3,26,0.07617808318038384,0.7696470050518526,0.47225,0.24549527377257838,2
eps_sweep,0,0.2,100,4000,0.3,27,0.04979040327806964,0.8017432427394691,0.471,0.24737793812912612,4
eps_sweep,0,0.2,100,4000,0.3,28,0.05293296394322819,0.7872619701108234,0.4625,0.25879438092483065,2
eps_sweep,0,0.2,100,4000,0.3,29,0.05833289050677024,0.793678681478408,0.48375,0.2517003020082497,2
eps_sweep,0,0.3,100,4000,0.3,0,0.039210297122470573,0.8168000270635978,0.50975,0.2632302027544089,2
eps_sweep,0,0.3,100,4000,0.3,1,3.231288902643421e-12,0.9161634743767861,0.85075,0.32330034349883513,1
eps_sweep,0,0.3,100,4000,0.3,2,0.03125626094221236,0.8424616760843069,0.59575,0.4013392850879712,2
eps_sweep,0,0.3,100,4000,0.3,3,0.03842830299142084,0.8261517070501195,0.546,0.3023157507568404,2
eps_sweep,0,0.3,100,4000,0.3,4,1.8017849611713747e-12,0.9251777015267549,0.8715,0.32330034350091086,1
eps_sweep,0,0.3,100,4000,0.3,5,0.0015000857577065927,0.9319488457557876,0.893,0.9694069008273078,2
eps_sweep,0,0.3,100,4000,0.3,6,0.05878147024650285,0.7946399705289076,0.4995,0.24697246052072883,2
eps_sweep,0,0.3,100,4000,0.3,7,0.004914322822076456,0.9175741106936451,0.83725,0.043332545566405915,5
eps_sweep,0,0.3,100,4000,0.3,8,0.0028298305093787768,0.9237396074528729,0.86375,0.9394694275323417,2
eps_sweep,0,0.3,100,4000,0.3,9,0.0409947276341879,0.844033624813301,0.631,0.44524275489331067,2
eps_sweep,0,0.3,100,4000,0.3,10,3.024836757842629e-11,0.9178334456310239,0.85175,0.32330062251796315,1
eps_sweep,0,0.3,100,4000,0.3,11,0.0601638664337643,0.7926604507196193,0.5065,0.2682587252905295,2
eps_sweep,0,0.3,100,4000,0.3,12,0.024166581479729145,0.8613163285537332,0.6635,0.5307472249008641,2
eps_sweep,0,0.3,100,4000,0.3,13,1.2869300974085733e-13,0.9377728785856407,0.9035,0.3233003435023878,1
eps_sweep,0,0.3,100,4000,0.3,14,1.9692040395727975e-13,0.9370494630792202,0.90325,0.3233003435023653,1
eps_sweep,0,0.3,100,4000,0.3,15,4.740842757948891e-12,0.9165506012584067,0.8505,0.32330034349996223,1
eps_sweep,0,0.3,100,4000,0.3,16,0.011592465894553136,0.9113218756646775,0.7945,0.7482667974862702,3
eps_sweep,0,0.3,100,4000,0.3,17,0.042608859312556334,0.8138348302925672,0.5135,0.2517002785362472,2
eps_sweep,0,0.3,100,4000,0.3,18,0.0028279584932877156,0.9308997862699807,0.87625,0.9393456953688631,2
eps_sweep,0,0.3,100,4000,0.3,19,0.05574716884716469,0.8217739764289442,0.59025,0.3751101941382379,2
eps_sweep,0,0.3,100,4000,0.3,20,1.6301998258208393e-14,0.9520102721064617,0.936,0.3233003435023976,1
eps_sweep,0,0.3,100,4000,0.3,21,0.05110297161760303,0.82079517973429,0.57225,0.3629055527542678,2
eps_sweep,0,0.3,100,4000,0.3,22,0.0058750831801746605,0.9380852354503882,0.883,0.18667058666581854,5
eps_sweep,0,0.3,100,4000,0.3,23,1.1748212701295325e-10,0.898463189960466,0.8065,0.3233012254623565,1
