condition,seed,round,opinion_var,opinion_bimodality,frac_extreme,round_diversity_entropy
random,4,36,0.024046546330845766,0.17153367825483173,0.0,2.2351566458014775
random,4,37,0.024346247304843274,0.17578099480777348,0.0,2.2192920404854246
random,4,38,0.025702128553542997,0.17795104646629353,0.0,2.246571465805147
random,4,39,0.025966450773731463,0.1763326655153048,0.0,2.2567059437877535
static,0,0,0.07683769743480785,0.17170378528354302,0.03333333333333333,2.222353009488393
static,0,1,0.0718042618433289,0.17499029496075827,0.03333333333333333,2.284481946631189
static,0,2,0.06461690327967107,0.1774879496803835,0.02666666666666667,2.253742637112826
static,0,3,0.0645129616021485,0.17924189631352885,0.02,1.6926895831212765
static,0,4,0.06446468695412068,0.180357835158209,0.02,1.6877204994410717
static,0,5,0.06463728309259244,0.17950152737816358,0.023333333333333334,1.6886815203895118
static,0,6,0.06518425165103925,0.1794891504948924,0.023333333333333334,1.6885164387125267
static,0,7,0.06517023572251966,0.1794062248223635,0.02,1.698020719412041
static,0,8,0.06568735017226722,0.18057297622432952,0.02,1.684032172438493
static,0,9,0.0658995433549253,0.18084078928048924,0.016666666666666666,1.689529290022717
static,0,10,0.0661722761886674,0.18042899779316268,0.016666666666666666,1.6973632483750247
static,0,11,0.0665137682659871,0.18178744157315133,0.02,1.689364968944109
static,0,12,0.06669289015248782,0.18241364595220266,0.02,1.6854857207320633
static,0,13,0.06718543297223012,0.1824234509725798,0.02,1.7034251934958529
static,0,14,0.06762295155492842,0.1824019113784487,0.023333333333333334,1.6969577635911302
static,0,15,0.06758834382739753,0.1815984112877444,0.016666666666666666,1.709716751751559
static,0,16,0.06813297108794512,0.18089759428641672,0.023333333333333334,1.7040241844889485
static,0,17,0.06770458458409169,0.18161027662109333,0.023333333333333334,1.7054772327109817
static,0,18,0.06777627200335089,0.18259351857301273,0.02,1.7035285303312395
static,0,19,0.0675329407416986,0.18200211063103333,0.02,1.7031507384862787
static,0,20,0.06770243985478293,0.18306428516142811,0.02,1.6895068811255225
static,0,21,0.06759048168345522,0.183051867085499,0.02,1.6864603223429215
static,0,22,0.06810217857786582,0.18248542877890916,0.023333333333333334,1.6934740039726899
static,0,23,0.06833109853348777,0.1820323400392325,0.023333333333333334,1.7024539318750396
static,0,24,0.06839145557385722,0.18196890849145053,0.023333333333333334,1.7012021331354448
static,0,25,0.0684142053696247,0.1832239654766589,0.023333333333333334,1.7011098034845915
static,0,26,0.06854846848702668,0.183706857310162,0.023333333333333334,1.702973901060954
static,0,27,0.06807715434446777,0.1815592550588289,0.023333333333333334,1.6958629567998278
static,0,28,0.06807135786904249,0.18188711477159847,0.02,1.7019136152985388
static,0,29,0.06778468416951952,0.18164783796426795,0.02,1.6924967803083748
static,0,30,0.06810182542380656,0.18056041852472843,0.023333333333333334,1.6839256455875478
static,0,31,0.06837885358262312,0.18042425578359939,0.02666666666666667,1.6875408067937205
static,0,32,0.0685859705454393,0.17861340974573292,0.02666666666666667,1.7072773581678888
static,0,33,0.06939726750785835,0.17861497869581627,0.02666666666666667,1.7027316031739612
static,0,34,0.06972743422816907,0.17992015154865335,0.02666666666666667,1.6995850457074044
static,0,35,0.0705618375550501,0.1796166604239616,0.023333333333333334,1.7005666464165916
static,0,36,0.07050414179411596,0.17855689607692218,0.03,1.7050584825967208
static,0,37,0.07092452394192436,0.1793679936936174,0.03,1.704501007088308
static,0,38,0.07154474423100296,0.17902013323008492,0.03666666666666667,1.7144986200638186
static,0,39,0.07164888766311175,0.17948484350185673,0.03666666666666667,1.7188701779880196
static,1,0,0.06811549257566657,0.15667699651544884,0.02,2.2571487672274264
static,1,1,0.06214663608459985,0.15930818665873447,0.02,2.2463618307812805
static,1,2,0.054801492434526,0.1667147328770852,0.01,2.2475897679003403
static,1,3,0.05535181004058411,0.1658161455307186,0.01,1.6059482835323071
static,1,4,0.055538220683248755,0.16772482600347186,0.01,1.6094377233282071
static,1,5,0.05556360418171688,0.16726873739563208,0.01,1.6259881361011002
static,1,6,0.05577300789341608,0.1662477306744193,0.01,1.6252346921178285
static,1,7,0.05586298671562762,0.16691854603933318,0.01,1.6316244705075957
static,1,8,0.055947807110547955,0.16728967482461352,0.01,1.6253496509678356
static,1,9,0.05580509993144274,0.1668393856949153,0.01,1.616271211904543
static,1,10,0.055510306156531325,0.16757260255096676,0.01,1.6217477342447237
static,1,11,0.05537524680083003,0.16777576670415112,0.01,1.6114837255253822
static,1,12,0.055389886474934494,0.16802031134593595,0.01,1.6129785379054264
static,1,13,0.05504036462452021,0.1694316282917117,0.013333333333333334,1.6175865846927113
static,1,14,0.05516561772113536,0.17063092655983697,0.01,1.6142123029317994
static,1,15,0.05559974897624795,0.16968677360877368,0.01,1.6105207172105076
static,1,16,0.05562059532393226,0.16955638773010706,0.01,1.6291335896038965
static,1,17,0.056344160944776976,0.1691148658012065,0.01,1.6026370702248975
static,1,18,0.056383306545574524,0.16832275467391397,0.01,1.613067746801977
static,1,19,0.05610867350153127,0.1686461678428933,0.01,1.6344468739939586
static,1,20,0.05601123529746575,0.16816894527435755,0.01,1.6342490926936297
static,1,21,0.05647735325405785,0.1684062147967185,0.01,1.6170359819161193
static,1,22,0.057024378581352904,0.16963690990291666,0.01,1.6292229524066117
static,1,23,0.057410790849504637,0.16963952360108428,0.01,1.6320628979099072
static,1,24,0.057992606723772676,0.16875221180494193,0.01,1.6366861964857051
static,1,25,0.05853390028039288,0.16907614806134924,0.01,1.6440125411588153
static,1,26,0.05826347304595534,0.1698692025443456,0.01,1.6492165830190535
static,1,27,0.059534290101301485,0.17056058853429995,0.01,1.6367746046409446
static,1,28,0.060191012409666865,0.17137208242650495,0.01,1.6472387303622589
static,1,29,0.060189757465386746,0.17051668340567266,0.01,1.6458181675772168
static,1,30,0.060242475113310594,0.1710666329993621,0.01,1.642440007975196
static,1,31,0.060667990657103085,0.17187427904117117,0.01,1.656572359185418
static,1,32,0.06068340284078075,0.17142734257981282,0.01,1.6470050404866425
static,1,33,0.06156708715895041,0.17035207046882878,0.013333333333333334,1.6532105114621793
static,1,34,0.06145770543772078,0.1717853524818498,0.013333333333333334,1.666772190887043
static,1,35,0.061723548810450356,0.17171194604837675,0.013333333333333334,1.6738137242635622
static,1,36,0.062086286138526736,0.1726815349221336,0.013333333333333334,1.6626852901340996
static,1,37,0.06223244610283752,0.17155000519877517,0.013333333333333334,1.6531697818008304
static,1,38,0.062129079172564376,0.17047499301716212,0.013333333333333334,1.6724087911960486
static,1,39,0.06252863829704645,0.17055163458576836,0.013333333333333334,1.6631903597888056
static,2,0,0.08146941020090995,0.17175058944932112,0.04,2.261628888781645
static,2,1,0.07284897290381515,0.16812737774752298,0.03333333333333333,2.268020476023453
static,2,2,0.06657165814490446,0.1671068800309066,0.03,2.2566279892575083
static,2,3,0.06694357534020026,0.16702872296407875,0.02666666666666667,1.6899191134433644
static,2,4,0.06746929204892149,0.1662108863490187,0.03,1.6706968357057441
static,2,5,0.06745160789751069,0.16713243010917864,0.03,1.6911881006708227
static,2,6,0.06809486110647826,0.16708837355791084,0.03,1.6907000074811855
static,2,7,0.06835749591493782,0.16632857997976597,0.03,1.6851750110118706
static,2,8,0.06849071290465872,0.1661756877146578,0.03333333333333333,1.6930461221869244
static,2,9,0.06838830182258522,0.16664082211959294,0.03333333333333333,1.6871275325657313
static,2,10,0.06802885580495027,0.16621272320169278,0.03333333333333333,1.7009317868444709
static,2,11,0.06818191966846116,0.16649420925619227,0.03,1.68807521848911
static,2,12,0.0686711179454088,0.16740930518737007,0.03,1.6974102821382027
static,2,13,0.06903050487356048,0.16702083514320756,0.03,1.6975818842559018
static,2,14,0.069152892142469,0.16658591485949661,0.03,1.7001814268731585
static,2,15,0.06903376098410152,0.16605900630199702,0.03,1.7178950626118699
static,2,16,0.06957178567899641,0.16610893399107854,0.03333333333333333,1.6967489489539413
static,2,17,0.07020957887903777,0.16604957477242027,0.03,1.7097893876329633
static,2,18,0.07029287071225863,0.16565010543313066,0.02666666666666667,1.704517064272944
static,2,19,0.07066658772850576,0.1653897704084951,0.02666666666666667,1.6941398233064522
