team_acc,overreliance,calib_error,harmful_flip_rate,beneficial_flip_rate,follow_rate,final_trust,skill,skill_peak,lam,seed,ai_acc
0.9298245614035088,0.03070175438596491,0.05143755068097089,0.0043859649122807015,0.0043859649122807015,0.9298245614035088,0.9988059717336024,low,0.55,0.2,27,0.9473684210526315
0.9254385964912281,0.03070175438596491,0.05143755068097089,0.0043859649122807015,0.0043859649122807015,0.9473684210526315,0.9988059717336024,low,0.55,0.2,28,0.9473684210526315
0.9342105263157895,0.017543859649122806,0.05143755068634226,0.0,0.0043859649122807015,0.9385964912280702,0.9988059717389738,low,0.55,0.2,29,0.9473684210526315
0.9342105263157895,0.021929824561403508,0.05226454968912142,0.0043859649122807015,0.008771929824561403,0.9298245614035088,0.999632970741753,low,0.55,0.3,0,0.9473684210526315
0.9254385964912281,0.02631578947368421,0.051437550686336375,0.0,0.0,0.9210526315789473,0.9988059717389679,low,0.55,0.3,1,0.9473684210526315
0.9254385964912281,0.02631578947368421,0.05226453425205024,0.008771929824561403,0.0043859649122807015,0.9342105263157895,0.9996329553046818,low,0.55,0.3,2,0.9473684210526315
0.9078947368421053,0.021929824561403508,0.05143755068634226,0.0043859649122807015,0.0043859649122807015,0.8947368421052632,0.9988059717389738,low,0.55,0.3,3,0.9473684210526315
0.9342105263157895,0.017543859649122806,0.0522645342574275,0.0043859649122807015,0.008771929824561403,0.9166666666666666,0.999632955310059,low,0.55,0.3,4,0.9473684210526315
0.9166666666666666,0.017543859649122806,0.051437550680965005,0.008771929824561403,0.0,0.9298245614035088,0.9988059717335965,low,0.55,0.3,5,0.9473684210526315
0.9298245614035088,0.017543859649122806,0.051437566123413325,0.0,0.008771929824561403,0.9429824561403509,0.9988059871760449,low,0.55,0.3,6,0.9473684210526315
0.9078947368421053,0.03070175438596491,0.05226454968912142,0.0043859649122807015,0.008771929824561403,0.9429824561403509,0.999632970741753,low,0.55,0.3,7,0.9473684210526315
0.9342105263157895,0.008771929824561403,0.051437566123413325,0.0,0.008771929824561403,0.9298245614035088,0.9988059871760449,low,0.55,0.3,8,0.9473684210526315
