team_acc,human_acc,ai_acc,comply_rate,over_reliance,under_reliance,final_trust,complementarity,p_ai,transparent,heuristic,seed
0.7142666666666667,0.6504,0.6536,0.6748666666666666,0.5025019245573518,0.23378212974296206,0.6501644736842106,0.06066666666666676,0.65,True,bayesian,20
0.71,0.6498666666666667,0.6469333333333334,0.6716333333333333,0.4949962235649547,0.23196619950535863,0.645953947368421,0.06013333333333326,0.65,True,bayesian,21
0.7100333333333333,0.6485,0.6532,0.6738666666666666,0.5028835063437139,0.235354153908961,0.6492598684210527,0.05683333333333329,0.65,True,bayesian,22
0.7078333333333333,0.6500333333333334,0.6456666666666667,0.6682666666666667,0.49520225776105364,0.23675787299948373,0.6444572368421052,0.05779999999999996,0.65,True,bayesian,23
0.7137333333333333,0.6461333333333333,0.653,0.6706,0.4914505283381364,0.23420112302194998,0.6486348684210526,0.060733333333333306,0.65,True,bayesian,24
0.7122333333333334,0.6483,0.6497666666666667,0.6673,0.4884362805748549,0.23628995023854718,0.6473519736842104,0.06246666666666667,0.65,True,bayesian,25
0.7055333333333333,0.6491333333333333,0.6496333333333333,0.6729333333333334,0.5066121206355247,0.23736466724819127,0.6456578947368422,0.05590000000000006,0.65,True,bayesian,26
0.7100666666666666,0.6476666666666666,0.6497333333333334,0.6729,0.5075180814617435,0.23794377180381696,0.6480427631578948,0.06033333333333324,0.65,True,bayesian,27
0.71,0.6486,0.6477,0.6726333333333333,0.5009934714731763,0.2340075137666615,0.6456907894736843,0.06140000000000001,0.65,True,bayesian,28
0.7116666666666667,0.6505333333333333,0.6501333333333333,0.6733,0.5031440548780488,0.2351312551271534,0.6475,0.06113333333333337,0.65,True,bayesian,29
0.7091333333333333,0.6504666666666666,0.6496333333333333,0.4295333333333333,0.261916087907906,0.48006567807481143,0.38813914773564456,0.058666666666666645,0.65,True,asymmetric,0
0.7063666666666667,0.652,0.648,0.4283666666666667,0.2628787878787879,0.481738683127572,0.39910922091118606,0.054366666666666674,0.65,True,asymmetric,1
0.7092,0.6546333333333333,0.6526666666666666,0.43433333333333335,0.2732245681381958,0.4799284984678243,0.39236306804225207,0.05456666666666676,0.65,True,asymmetric,2
0.7076666666666667,0.6489666666666667,0.6531666666666667,0.4322,0.2665064872657376,0.47981627966317936,0.36853850747799244,0.05449999999999999,0.65,True,asymmetric,3
0.7062,0.6503666666666666,0.6499333333333334,0.4278,0.2622357646162636,0.48302389988716793,0.38676942964191285,0.0558333333333334,0.65,True,asymmetric,4
0.7090333333333333,0.6500666666666667,0.6486666666666666,0.4262666666666667,0.25521821631878555,0.4810894141829394,0.38108215031514975,0.05896666666666661,0.65,True,asymmetric,5
0.7059666666666666,0.6495333333333333,0.6468,0.4267666666666667,0.26528878822197055,0.4850546279117708,0.3884536830714089,0.056433333333333335,0.65,True,asymmetric,6
0.7047,0.6456666666666667,0.6502666666666667,0.42673333333333335,0.26420129622569577,0.4858519581710068,0.3854377217536562,0.054433333333333334,0.65,True,asymmetric,7
0.7035333333333333,0.6457,0.6485666666666666,0.4247,0.2654842075310633,0.489027085367734,0.3881321406855276,0.05496666666666672,0.65,True,asymmetric,8
0.7053666666666667,0.6497,0.6481,0.4269,0.2675949606895898,0.48660186185259474,0.37522973331820597,0.05566666666666664,0.65,True,asymmetric,9
