team_acc,human_acc,ai_acc,comply_rate,over_reliance,under_reliance,final_trust,complementarity,conf_beta,p_ai,seed
0.8447666666666667,0.6512333333333333,0.8522,0.8766,0.7422192151556157,0.1000938746773058,0.8461842105263158,-0.007433333333333292,0.4,0.85,13
0.8433,0.6464,0.8476,0.8778666666666667,0.7412510936132983,0.09756960830580462,0.8424177631578948,-0.0042999999999999705,0.4,0.85,14
0.8422,0.6494666666666666,0.848,0.8795,0.7541666666666667,0.09803459119496856,0.845592105263158,-0.005800000000000027,0.4,0.85,15
0.8466666666666667,0.6487333333333334,0.8498,0.8802,0.743231247225921,0.09559111947909311,0.8451809210526315,-0.0031333333333333213,0.4,0.85,16
0.8476,0.6483666666666666,0.8488,0.8756,0.7347883597883598,0.09931668237511782,0.844046052631579,-0.0011999999999999789,0.4,0.85,17
0.8454,0.6503,0.8507333333333333,0.8792333333333333,0.7467619472979008,0.09752370503879006,0.8466940789473684,-0.005333333333333301,0.4,0.85,18
0.8475666666666667,0.6521,0.8499,0.8775,0.7381745502998002,0.09789386986704318,0.846282894736842,-0.0023333333333332984,0.4,0.85,19
0.7705,0.6572333333333333,0.7498333333333334,0.7790333333333334,0.6107928047968021,0.16483663036230273,0.7472532894736841,0.02066666666666661,0.7,0.75,0
0.7732333333333333,0.6516333333333333,0.7522,0.7799333333333334,0.6099004573580845,0.1640521137995214,0.7475164473684209,0.02103333333333335,0.7,0.75,1
0.7741,0.6481333333333333,0.7545,0.783,0.606653088934148,0.1596200574331787,0.749029605263158,0.019600000000000062,0.7,0.75,2
0.7753333333333333,0.6544333333333333,0.7515666666666667,0.7853333333333333,0.610626593318127,0.15691666297068346,0.7476315789473685,0.023766666666666603,0.7,0.75,3
0.7739,0.6508666666666667,0.7534,0.7799333333333334,0.6066504460665044,0.16334837624988938,0.7488980263157896,0.020500000000000074,0.7,0.75,4
0.7697333333333334,0.6485,0.7491666666666666,0.7846666666666666,0.6201993355481727,0.16026696329254728,0.7477467105263158,0.020566666666666733,0.7,0.75,5
0.7685,0.6484333333333333,0.7531,0.7882,0.6299446469555826,0.15991678838578322,0.7518914473684211,0.01539999999999997,0.7,0.75,6
0.7730333333333334,0.6511666666666667,0.7538,0.7785333333333333,0.6112916328188465,0.16684354824445033,0.7434210526315789,0.019233333333333325,0.7,0.75,7
0.7679333333333334,0.6528,0.7461666666666666,0.7751333333333333,0.6069599474720946,0.16765691311145856,0.7435361842105265,0.021766666666666712,0.7,0.75,8
0.7652666666666667,0.6535666666666666,0.7430333333333333,0.7743666666666666,0.6017641717473083,0.1659414113319277,0.7435690789473683,0.022233333333333327,0.7,0.75,9
0.7709,0.6521333333333333,0.7527666666666667,0.7781,0.6131859242281246,0.16773679316299872,0.747450657894737,0.018133333333333335,0.7,0.75,10
0.7714,0.6515,0.7538,0.7795333333333333,0.6095315461684268,0.16494207128327584,0.7461019736842105,0.01759999999999995,0.7,0.75,11
0.7678333333333334,0.6449,0.7503333333333333,0.7773666666666667,0.6098798397863818,0.16690359840071078,0.7460855263157895,0.01750000000000007,0.7,0.75,12
0.7661,0.6525333333333333,0.7451,0.7772333333333333,0.602850791159932,0.1631100970786919,0.7441940789473683,0.02100000000000002,0.7,0.75,13
0.7687333333333334,0.6512666666666667,0.7500666666666667,0.7779666666666667,0.6129634569218458,0.16705181761621188,0.7471875,0.01866666666666672,0.7,0.75,14
0.7741,0.654,0.7523666666666666,0.7834333333333333,0.6143491721631444,0.16091444774267866,0.7464309210526315,0.021733333333333382,0.7,0.75,15
0.7741333333333333,0.6563333333333333,0.7521666666666667,0.7838666666666667,0.6119704102219233,0.15949479282074008,0.7490953947368422,0.02196666666666669,0.7,0.75,16
0.7696333333333333,0.6487333333333334,0.7487,0.7766666666666666,0.606977052659504,0.16637727616757936,0.7448519736842107,0.02093333333333325,0.7,0.75,17
0.7672,0.6491666666666667,0.7486666666666667,0.7788666666666667,0.6145888594164456,0.1659839715048976,0.7458223684210527,0.01853333333333329,0.7,0.75,18
0.7689333333333334,0.6546333333333333,0.7494,0.7758,0.6085395051875498,0.16826794769148654,0.7453947368421052,0.019533333333333402,0.7,0.75,19
0.8463,0.6541666666666667,0.8495666666666667,0.8782333333333333,0.7391978728118768,0.09714756542551105,0.8439473684210526,-0.00326666666666664,0.7,0.85,0
0.8452666666666667,0.6485666666666666,0.8495333333333334,0.8762666666666666,0.7337173238812583,0.0984854429883073,0.8458223684210526,-0.004266666666666641,0.7,0.85,1
0.8439333333333333,0.6538666666666667,0.848,0.8769,0.7399122807017544,0.09854559748427673,0.8434539473684209,-0.004066666666666663,0.7,0.85,2
0.8491333333333333,0.6499333333333334,0.852,0.8781666666666667,0.7382882882882883,0.09753521126760563,0.8466940789473685,-0.002866666666666684,0.7,0.85,3
0.8477333333333333,0.6497,0.8496,0.8787666666666667,0.7442375886524822,0.09741839296924043,0.8460690789473685,-0.0018666666666666831,0.7,0.85,4
0.8475,0.6564,0.8511333333333333,0.8808,0.7429467084639498,0.09508890107307903,0.8448684210526315,-0.0036333333333332662,0.7,0.85,5
0.8422666666666667,0.6521666666666667,0.8457333333333333,0.8777666666666667,0.7417891097666378,0.0974302380577014,0.8417598684210528,-0.003466666666666618,0.7,0.85,6
0.8467333333333333,0.6482,0.8501666666666666,0.8799666666666667,0.7448275862068966,0.09621642815134288,0.8476809210526315,-0.0034333333333332883,0.7,0.85,7
