team_acc,human_acc,ai_acc,comply_rate,over_reliance,under_reliance,final_trust,complementarity,sweep,value,p_ai,seed
0.8226,0.6473666666666666,0.847,0.7248333333333333,0.5324618736383442,0.24041715859897678,0.6451736770388271,-0.024399999999999977,eta_down,0.24,0.85,6
0.8268666666666666,0.6482,0.8517,0.7257,0.50865363002922,0.23650737740205863,0.6753645457895303,-0.024833333333333374,eta_down,0.24,0.85,7
0.8258333333333333,0.6505,0.8501666666666666,0.7258,0.52146829810901,0.23818859047245639,0.6555892415499613,-0.024333333333333318,eta_down,0.24,0.85,8
0.8260333333333333,0.6509,0.8491333333333333,0.7243666666666667,0.5187803800265135,0.23910654000157022,0.655712262912352,-0.02310000000000001,eta_down,0.24,0.85,9
0.8293666666666667,0.6526666666666666,0.8521333333333333,0.7334666666666667,0.5270513976555455,0.23071506806446565,0.6581360997740308,-0.022766666666666602,eta_down,0.24,0.85,10
0.8260666666666666,0.6516333333333333,0.8485666666666667,0.7253,0.524323134492626,0.23883411242487332,0.6756032056469812,-0.022500000000000075,eta_down,0.24,0.85,11
0.8233,0.6492666666666667,0.8476666666666667,0.7224666666666667,0.5227571115973741,0.24164372788045616,0.6458770260993987,-0.024366666666666648,eta_down,0.24,0.85,12
0.8200333333333333,0.6449333333333334,0.8467666666666667,0.7190666666666666,0.520991951272569,0.2450891626973192,0.6471513510571938,-0.026733333333333387,eta_down,0.24,0.85,13
0.8240666666666666,0.6514666666666666,0.8496333333333334,0.7242333333333333,0.5291509643094657,0.2412413197850053,0.657122095803607,-0.025566666666666737,eta_down,0.24,0.85,14
0.8236333333333333,0.649,0.8497666666666667,0.7231,0.5231861548702019,0.2415565057074491,0.6548317679715712,-0.026133333333333342,eta_down,0.24,0.85,15
0.83,0.6496,0.8485666666666667,0.7243666666666667,0.5009905348888399,0.23577012216679105,0.6424619571820571,-0.01856666666666673,eta_down,0.24,0.85,16
0.8239,0.6476333333333333,0.8528333333333333,0.7298,0.5359003397508494,0.23674027750635138,0.6589140357332439,-0.028933333333333366,eta_down,0.24,0.85,17
0.826,0.6456666666666667,0.8504666666666667,0.7291666666666666,0.5263040570664289,0.2351650074468919,0.6561640770702604,-0.024466666666666748,eta_down,0.24,0.85,18
0.8268,0.6510333333333334,0.8523333333333334,0.7317,0.5338600451467269,0.23402424716464607,0.6402771154531234,-0.025533333333333408,eta_down,0.24,0.85,19
0.7448,0.6453666666666666,0.7478333333333333,0.4897666666666667,0.29874421678783875,0.44582126142188544,0.42648564829906005,-0.0030333333333333323,eta_down,0.32,0.75,0
0.7507333333333334,0.6509666666666667,0.7544,0.5128666666666667,0.3136536373507057,0.42227819017320606,0.4299094845690632,-0.003666666666666596,eta_down,0.32,0.75,1
0.7437666666666667,0.6440666666666667,0.7491666666666666,0.49773333333333336,0.30830564784053155,0.4388431590656285,0.43786868150771174,-0.00539999999999996,eta_down,0.32,0.75,2
0.7501666666666666,0.6517333333333334,0.7518,0.49623333333333336,0.2945205479452055,0.43717300700540923,0.42212688147235156,-0.0016333333333333755,eta_down,0.32,0.75,3
0.7488666666666667,0.6505333333333333,0.7496666666666667,0.4975,0.30053262316910784,0.4367274344152957,0.4342949907865227,-0.0008000000000000229,eta_down,0.32,0.75,4
