team_acc,human_acc,ai_acc,comply_rate,over_reliance,under_reliance,final_trust,complementarity,label,eta_up,eta_down,ratio,p_ai,seed
0.8233666666666667,0.6465,0.8491666666666666,0.7277,0.5253038674033149,0.2363493621197252,0.6596683979331024,-0.025799999999999934,ratio3_scale_lo,0.05,0.15,2.9999999999999996,0.85,10
0.8257,0.6485666666666666,0.8453,0.7245666666666667,0.5007541478129713,0.23447296817697857,0.6432119770104223,-0.019600000000000062,ratio3_scale_lo,0.05,0.15,2.9999999999999996,0.85,11
0.8285,0.652,0.8495,0.7282333333333333,0.5187153931339978,0.23464783205807338,0.6550931592786254,-0.02100000000000002,ratio3_scale_lo,0.05,0.15,2.9999999999999996,0.85,12
0.8324,0.6509666666666667,0.8520333333333333,0.7326666666666667,0.5190358188781257,0.23023355893744377,0.6621938214864176,-0.01963333333333328,ratio3_scale_lo,0.05,0.15,2.9999999999999996,0.85,13
0.8275666666666667,0.6559333333333334,0.8475,0.7264666666666667,0.5173770491803279,0.2359095378564405,0.648101282164389,-0.01993333333333336,ratio3_scale_lo,0.05,0.15,2.9999999999999996,0.85,14
0.8256666666666667,0.6515666666666666,0.8490333333333333,0.7293333333333333,0.521969529697505,0.23379529661183307,0.6635452090981185,-0.023366666666666647,ratio3_scale_lo,0.05,0.15,2.9999999999999996,0.85,15
0.826,0.6435,0.8499333333333333,0.7284333333333334,0.5173256330519769,0.2342928857165268,0.6512778093519248,-0.023933333333333362,ratio3_scale_lo,0.05,0.15,2.9999999999999996,0.85,16
0.8289666666666666,0.6484,0.8505666666666667,0.7333,0.5288869060896721,0.23078731825841595,0.6585275661837576,-0.021600000000000064,ratio3_scale_lo,0.05,0.15,2.9999999999999996,0.85,17
0.8260333333333333,0.6526666666666666,0.8477,0.7236,0.5145546071350405,0.2388423577523495,0.6539554820977141,-0.021666666666666723,ratio3_scale_lo,0.05,0.15,2.9999999999999996,0.85,18
0.8252,0.6465666666666666,0.8474,0.7251,0.518348623853211,0.23766816143497757,0.6610645418297696,-0.022199999999999998,ratio3_scale_lo,0.05,0.15,2.9999999999999996,0.85,19
0.7536,0.6491,0.7462,0.5635,0.3620961386918834,0.36799785580273386,0.4786660834673702,0.007400000000000073,ratio3_scale_hi,0.08,0.24,3.0,0.75,0
0.7543666666666666,0.6483333333333333,0.7514333333333333,0.5694,0.3654284564838407,0.3631282438007364,0.5073926366981327,0.0029333333333333433,ratio3_scale_hi,0.08,0.24,3.0,0.75,1
0.753,0.6471666666666667,0.7453333333333333,0.5595666666666667,0.3636125654450262,0.373479427549195,0.5045572820552705,0.0076666666666667105,ratio3_scale_hi,0.08,0.24,3.0,0.75,2
0.7563666666666666,0.6488333333333334,0.7497333333333334,0.5664666666666667,0.36454448588172617,0.36613017961942024,0.5066994480241246,0.006633333333333269,ratio3_scale_hi,0.08,0.24,3.0,0.75,3
0.7511666666666666,0.6476666666666666,0.746,0.5625333333333333,0.36653543307086617,0.3707327971403038,0.4843036898357262,0.005166666666666653,ratio3_scale_hi,0.08,0.24,3.0,0.75,4
0.7579333333333333,0.6518,0.7523333333333333,0.5715666666666667,0.376043068640646,0.36406734603455915,0.5150400541904291,0.005600000000000049,ratio3_scale_hi,0.08,0.24,3.0,0.75,5
0.7568,0.6461333333333333,0.7485,0.5629,0.3562624254473161,0.3676686706746827,0.5026142919291682,0.008299999999999974,ratio3_scale_hi,0.08,0.24,3.0,0.75,6
0.7537666666666667,0.6501333333333333,0.7495666666666667,0.5654666666666667,0.3689604685212299,0.36887979721616937,0.5034603090409311,0.0041999999999999815,ratio3_scale_hi,0.08,0.24,3.0,0.75,7
0.7553,0.6525666666666666,0.7498,0.5643,0.36757260857980284,0.3700542366853383,0.5209493743302658,0.005499999999999949,ratio3_scale_hi,0.08,0.24,3.0,0.75,8
