team_acc,human_acc,ai_acc,comply_rate,over_reliance,under_reliance,final_trust,complementarity,p_ai,hetero,heuristic,seed
0.7138333333333333,0.6579333333333334,0.6533,0.4331,0.26747428131910395,0.4790040308178989,0.38808594077309183,0.05589999999999995,0.65,True,asymmetric,0
0.7042333333333334,0.6458,0.6473666666666666,0.42656666666666665,0.2639190849796767,0.4848360022655888,0.3746574302832038,0.05686666666666673,0.65,True,asymmetric,1
0.7093,0.6525666666666666,0.6515,0.4287,0.26886657101865136,0.48580199539524177,0.38669036547767727,0.05673333333333341,0.65,True,asymmetric,2
0.7093666666666667,0.6582,0.6474666666666666,0.42473333333333335,0.2648449319213313,0.4882104612850082,0.3560690077455949,0.051166666666666694,0.65,True,asymmetric,3
0.7122,0.6615,0.6444,0.4212,0.25693663292088487,0.48815435547279123,0.38476405900077465,0.05070000000000008,0.65,True,asymmetric,4
0.6978333333333333,0.6380333333333333,0.6489,0.4314,0.26630589575619484,0.4792726151949453,0.38453481601944967,0.04893333333333327,0.65,True,asymmetric,5
0.6982333333333334,0.6343,0.6479333333333334,0.42593333333333333,0.2637758000378716,0.48595534520012346,0.3813316947767482,0.05030000000000001,0.65,True,asymmetric,6
0.7034666666666667,0.6341333333333333,0.6556333333333333,0.4364,0.26725389604104155,0.4747572321927907,0.3822534919147564,0.047833333333333394,0.65,True,asymmetric,7
0.6969666666666666,0.6324333333333333,0.6510666666666667,0.42973333333333336,0.2671952617500955,0.4831558468154823,0.3844217090068278,0.04589999999999994,0.65,True,asymmetric,8
0.7026666666666667,0.6459,0.6462,0.41946666666666665,0.2585264744676842,0.49241720829464564,0.38085868786075316,0.056466666666666665,0.65,True,asymmetric,9
0.7102,0.6517666666666667,0.6490333333333334,0.4307666666666667,0.26279798651343905,0.4784037799804838,0.3759727148001483,0.05843333333333334,0.65,True,asymmetric,10
0.7076333333333333,0.6506,0.6478333333333334,0.4251,0.25858968291528633,0.484383843581168,0.39905322681692523,0.05703333333333338,0.65,True,asymmetric,11
0.71,0.6547333333333333,0.643,0.41963333333333336,0.25434173669467786,0.48859512700881286,0.3805345077977276,0.055266666666666686,0.65,True,asymmetric,12
0.7039,0.6494,0.6498,0.42683333333333334,0.26527698458023985,0.48609828665230326,0.36752742707886027,0.054099999999999926,0.65,True,asymmetric,13
0.6965333333333333,0.6275666666666667,0.6487666666666667,0.42643333333333333,0.26108000379614693,0.48404665262292557,0.404225718666887,0.047766666666666624,0.65,True,asymmetric,14
0.7052666666666667,0.6448333333333334,0.6482666666666667,0.42843333333333333,0.26127748294162245,0.48087206910736324,0.38088093896988384,0.05700000000000005,0.65,True,asymmetric,15
0.7067,0.6442333333333333,0.6459666666666667,0.4283666666666667,0.26099237359947275,0.4799009236802725,0.3716328411031898,0.060733333333333306,0.65,True,asymmetric,16
0.7119,0.6495333333333333,0.6554666666666666,0.43493333333333334,0.2693498452012384,0.4780309194467046,0.4031344544989871,0.056433333333333335,0.65,True,asymmetric,17
0.7098,0.6532,0.6481,0.4338666666666667,0.27233115468409586,0.47842411150542613,0.40040955915354604,0.056599999999999984,0.65,True,asymmetric,18
0.7037,0.6482333333333333,0.6519333333333334,0.43033333333333335,0.2669028921662517,0.4824112894979037,0.3844535398773374,0.05176666666666663,0.65,True,asymmetric,19
0.7163,0.6626,0.65,0.4272666666666667,0.2561904761904762,0.4806153846153846,0.38530619018559475,0.05370000000000008,0.65,True,asymmetric,20
0.7131666666666666,0.6591666666666667,0.6514333333333333,0.43283333333333335,0.2693889260782251,0.47971140561838,0.3744216065319816,0.05399999999999994,0.65,True,asymmetric,21
0.7082333333333334,0.6562,0.6436,0.4241666666666667,0.2618780396558174,0.4859643671017195,0.3784574576189737,0.052033333333333376,0.65,True,asymmetric,22
0.7046333333333333,0.6457333333333334,0.6493,0.4292666666666667,0.261381997908944,0.4800554443246573,0.3940399691174006,0.055333333333333345,0.65,True,asymmetric,23
0.7162,0.6662333333333333,0.6499333333333334,0.4341,0.26871072176728245,0.47681813519335314,0.36404721333897244,0.049966666666666604,0.65,True,asymmetric,24
0.6996666666666667,0.6376333333333334,0.6473666666666666,0.4271,0.2596653747991304,0.4816950723443695,0.38571784179886714,0.05230000000000001,0.65,True,asymmetric,25
0.7094666666666667,0.649,0.6501666666666667,0.42633333333333334,0.25707479752262985,0.4825942066136888,0.38184975197275534,0.05930000000000002,0.65,True,asymmetric,26
0.7155333333333334,0.6625,0.6547,0.4368666666666667,0.2668211217298967,0.47344839875770073,0.4022316415062953,0.05303333333333338,0.65,True,asymmetric,27
0.6988333333333333,0.6354333333333333,0.6470666666666667,0.42746666666666666,0.26435587457499055,0.4835668658561714,0.3781401477667808,0.05176666666666663,0.65,True,asymmetric,28
0.7024333333333334,0.6454333333333333,0.6453333333333333,0.4258,0.2662593984962406,0.48651859504132233,0.3965749999369211,0.05700000000000005,0.65,True,asymmetric,29
0.7696,0.6489,0.7492,0.7817,0.6139021796916534,0.1621284926143442,0.7466118421052631,0.020399999999999974,0.75,False,bayesian,0
0.7706666666666667,0.6470666666666667,0.7520666666666667,0.7821,0.614681365958591,0.1627072068079071,0.7468914473684211,0.01860000000000006,0.75,False,bayesian,1
0.7670666666666667,0.6501333333333333,0.7468666666666667,0.7816,0.6232552014748486,0.16473266089440328,0.7464802631578948,0.020199999999999996,0.75,False,bayesian,2
0.7657666666666667,0.6491666666666667,0.7466333333333334,0.7805666666666666,0.6226812261544533,0.16585561855439976,0.7459046052631578,0.019133333333333336,0.75,False,bayesian,3
0.7711333333333333,0.6454666666666666,0.7495666666666667,0.7841333333333333,0.6129375748702249,0.15866945346200026,0.7465789473684211,0.021566666666666623,0.75,False,bayesian,4
0.7686333333333333,0.6471666666666667,0.7499,0.7839666666666667,0.6192189790750366,0.16108814508601146,0.7491611842105264,0.01873333333333327,0.75,False,bayesian,5
0.771,0.6512333333333333,0.7503333333333333,0.7793666666666667,0.6086782376502002,0.16383829409151487,0.7469078947368422,0.020666666666666722,0.75,False,bayesian,6
0.7705666666666666,0.6456666666666667,0.7507333333333334,0.7835333333333333,0.6087189087991441,0.15842287541070954,0.7474342105263158,0.01983333333333326,0.75,False,bayesian,7
0.7717,0.6494,0.7522,0.7848333333333334,0.6178369652945924,0.16015244172649118,0.7485526315789474,0.019500000000000073,0.75,False,bayesian,8
0.7697333333333334,0.6496333333333333,0.7504333333333333,0.7777333333333334,0.6059837050888206,0.1651490250077733,0.7430592105263157,0.019300000000000095,0.75,False,bayesian,9
0.772,0.6469666666666667,0.7528,0.7779666666666667,0.6004584681769147,0.16374424371236274,0.7464802631578948,0.019199999999999995,0.75,False,bayesian,10
