skill,lam,team_acc_mean,team_acc_std,overreliance_mean,overreliance_std,calib_error_mean,calib_error_std,harmful_flip_mean,beneficial_flip_mean,follow_rate_mean,final_trust_mean
low,0.7,0.5425438596491229,0.0350905549368396,0.23757309941520469,0.020926324235658957,0.4341932814811972,0.12756107497469427,0.43128654970760233,0.026461988304093565,0.5371345029239766,0.5131751395714343
low,0.85,0.5425438596491229,0.0350905549368396,0.23757309941520469,0.020926324235658957,0.4341932814811972,0.12756107497469427,0.43128654970760233,0.026461988304093565,0.5371345029239766,0.5131751395714343
low,1.0,0.5425438596491229,0.0350905549368396,0.23757309941520469,0.020926324235658957,0.4341932814811972,0.12756107497469427,0.43128654970760233,0.026461988304093565,0.5371345029239766,0.5131751395714343
medium,0.0,0.9323099415204678,0.008199997816929518,0.02807017543859649,0.006576426215859257,0.051437550686336375,0.0,0.0,0.0,0.9349415204678363,0.9988059717389679
medium,0.1,0.9320175438596491,0.012066558322103129,0.027923976608187132,0.006763722357295709,0.05185104246883797,0.00042056053232386045,0.0043859649122807015,0.0042397660818713455,0.935233918128655,0.9992194635214695
medium,0.2,0.9320175438596491,0.012066558322103129,0.027923976608187132,0.006763722357295709,0.05185104246883797,0.00042056053232386045,0.0043859649122807015,0.0042397660818713455,0.935233918128655,0.9992194635214695
medium,0.3,0.9361111111111111,0.012007777356558485,0.024707602339181286,0.006359344896798871,0.05185105378935679,0.0004205605323812023,0.0043859649122807015,0.007456140350877192,0.9384502923976609,0.9992194748419883
medium,0.4,0.9327485380116959,0.013693152749638993,0.028216374269005848,0.007785025589872766,0.05524509722623641,0.007689236040815957,0.015497076023391813,0.015350877192982455,0.9350877192982456,0.9301443839787764
medium,0.45,0.9301169590643276,0.016608989469072997,0.030555555555555555,0.009249215356052195,0.05536969426737541,0.008126619923021548,0.028947368421052628,0.026315789473684213,0.9327485380116959,0.9295209945193965
medium,0.5,0.6874269005847953,0.03171003019673786,0.2043859649122807,0.020783723209891802,0.30130010661457113,0.13077091822843268,0.2906432748538012,0.030994152046783626,0.6871345029239766,0.6460683144380605
medium,0.55,0.6866959064327485,0.031746616896056234,0.20453216374269007,0.021594021035466638,0.30130010665932727,0.13077091824146492,0.2916666666666667,0.030994152046783626,0.6861111111111111,0.6460683143933043
medium,0.6,0.6866959064327485,0.031746616896056234,0.20453216374269007,0.021594021035466638,0.30130010665932727,0.13077091824146492,0.2916666666666667,0.030994152046783626,0.6861111111111111,0.6460683143933043
