variant,skill_name,lambda,team_acc,overreliance,calib_error
continuous,high,0.3,0.9453216374269006,0.028947368421052628,0.05188069691437585
continuous,high,0.4,0.9480994152046783,0.025,0.051633893488435015
continuous,high,0.45,0.9514619883040936,0.020467836257309937,0.05155918350645456
continuous,high,0.5,0.941374269005848,0.01608187134502924,0.047257585399436135
continuous,high,0.55,0.9271929824561405,0.011842105263157895,0.04165122945473994
continuous,high,0.6,0.9112573099415204,0.008479532163742691,0.03875954568166042
continuous,high,0.7,0.8845029239766082,0.0032163742690058477,0.05357413691106987
continuous,high,0.85,0.8654970760233918,0.0008771929824561403,0.07544981655443928
continuous,high,1.0,0.8583333333333333,0.0,0.07938146713893314
continuous,low,0.0,0.9026315789473683,0.02573099415204678,0.05025072394062377
continuous,low,0.1,0.9021929824561403,0.02412280701754386,0.05155915079141942
continuous,low,0.2,0.908625730994152,0.021637426900584796,0.05012932001848002
continuous,low,0.3,0.9114035087719298,0.020321637426900584,0.049161998382854906
continuous,low,0.4,0.910672514619883,0.017543859649122806,0.04812831808186046
continuous,low,0.45,0.9105263157894736,0.014035087719298244,0.05767815169738986
continuous,low,0.5,0.8514619883040936,0.010380116959064326,0.09441897301483199
continuous,low,0.55,0.7763157894736843,0.006871345029239765,0.16496118362614223
continuous,low,0.6,0.7076023391812866,0.004824561403508772,0.21188233061148568
continuous,low,0.7,0.620906432748538,0.0017543859649122805,0.2998624713951974
continuous,low,0.85,0.5669590643274854,0.00043859649122807013,0.3685567799680598
continuous,low,1.0,0.5498538011695906,0.0,0.3807142025854303
continuous,medium,0.0,0.9222222222222223,0.03084795321637427,0.047991801382995206
continuous,medium,0.1,0.9217836257309941,0.0293859649122807,0.04841798744782461
continuous,medium,0.2,0.9276315789473684,0.026315789473684213,0.0492530855629965
continuous,medium,0.3,0.9298245614035088,0.025,0.050201171895983714
continuous,medium,0.4,0.9302631578947369,0.021929824561403508,0.04966780686610545
continuous,medium,0.45,0.9324561403508772,0.01783625730994152,0.05310581602297109
continuous,medium,0.5,0.9017543859649123,0.014035087719298244,0.05192134614198496
continuous,medium,0.55,0.8586257309941521,0.010087719298245614,0.06068587886757659
continuous,medium,0.6,0.8157894736842105,0.007456140350877192,0.0989790047520938
continuous,medium,0.7,0.756578947368421,0.002631578947368421,0.15519646995400144
continuous,medium,0.85,0.7169590643274854,0.00043859649122807013,0.21916363183639148
continuous,medium,1.0,0.7036549707602339,0.0,0.228303865869168
sigmoid,high,0.0,0.9441520467836256,0.03318713450292397,0.04985539995355873
sigmoid,high,0.1,0.941812865497076,0.03304093567251462,0.04985539995194731
sigmoid,high,0.2,0.9448830409356724,0.03026315789473684,0.049855399951951464
