topology,epsilon,alpha,n_seeds,variance_mean,variance_std,extremeness_mean,extremeness_std,frac_extreme_mean,frac_extreme_std,amp_ratio_mean,amp_ratio_std
mixing,0.35,3.625,5,0.20539262853077114,0.017944046899020447,0.43273499117170805,0.02288975050643903,0.35200000000000004,0.18896031329355906,4.606973981781001,0.5808711380754517
mixing,0.35,3.75,5,0.2020599565764294,0.035386400517189685,0.4189617805147773,0.03230419525271205,0.34,0.17541379649275027,4.627634407127516,0.6481459822232343
mixing,0.35,3.875,5,0.20791369538992086,0.021026142225032577,0.42529781481066725,0.018914666398207602,0.351,0.19456104440509153,5.12317913705457,0.6584101416354445
mixing,0.35,4.0,5,0.22304958823827553,0.034446870231134456,0.4277888892652835,0.0203222487036373,0.46099999999999997,0.2432159534241124,5.136895630240332,0.46698656417740686
mixing,0.35,4.125,5,0.20093544446163944,0.027024049356130397,0.42202264316394017,0.027105273302766155,0.351,0.20020988986561078,5.7052192392822345,1.0317883925905265
mixing,0.35,4.25,5,0.21907016155020348,0.038077389034265476,0.4295086571615453,0.03966242363416393,0.399,0.22479768682083895,5.617416932045993,0.8556492530142996
mixing,0.35,4.375,5,0.20891922946932104,0.020916533644642334,0.4317359970383324,0.02691871679039327,0.34500000000000003,0.19110206696946005,6.592490747902434,1.0324851624636486
mixing,0.35,4.5,5,0.21750098677564575,0.022927875905526147,0.43426994970869154,0.024329451844054422,0.41200000000000003,0.2331651775029882,6.600846573206707,1.1871354792368558
smallworld,0.15,0.0,5,0.3153429824293282,0.020287741712880947,0.4849913539607343,0.019053613656688333,0.493,0.02315167380558045,0.9881898293678519,0.024843368345801215
smallworld,0.15,0.083,5,0.31399941062659725,0.019665264042796476,0.48364879502627645,0.018048908122477645,0.492,0.02379075450674064,1.0138602811767319,0.024876179649901173
smallworld,0.15,0.167,5,0.3134255653152643,0.019097548335741975,0.48319590667723966,0.017392555923568365,0.488,0.024,1.0413384508971018,0.02690447291371723
smallworld,0.15,0.25,5,0.31318337829748916,0.017220977255485603,0.4832309520287466,0.015917124625440385,0.479,0.028354893757515653,1.078557004493263,0.03048514344761571
smallworld,0.15,0.333,5,0.313216842829401,0.0182527366578625,0.4830472982107981,0.0166697970777033,0.47800000000000004,0.02541653005427767,1.1124150190523832,0.03358639404952696
smallworld,0.15,0.417,5,0.3130394699167282,0.01825251002226173,0.48290591994424836,0.01694013811051835,0.473,0.02821347195933177,1.1439783124316862,0.03134623995058297
smallworld,0.15,0.5,5,0.31263723592726,0.01791139921794898,0.48261398926648874,0.016147800914191195,0.47400000000000003,0.02922327839240492,1.1768579662589413,0.03304046013383122
smallworld,0.15,0.583,5,0.31233456938902815,0.01821238499200551,0.48213544926658203,0.01652890493979822,0.4779999999999999,0.027676705006196095,1.208443013543372,0.03667884366403787
smallworld,0.15,0.667,5,0.3131499862275083,0.019028661120372065,0.4826793349074305,0.017400911174118787,0.483,0.03187475490101846,1.234456377759742,0.03246390083077466
smallworld,0.15,0.75,5,0.3127766509635503,0.019576982940468564,0.48261031242386443,0.017778004131827247,0.483,0.03414674215792775,1.2701134636827642,0.03428002194640083
smallworld,0.15,0.833,5,0.3119245525815106,0.019010981610649423,0.48163999047032374,0.017211037991966476,0.47300000000000003,0.031559467676119,1.2997314239743771,0.035749485395063466
smallworld,0.15,0.917,5,0.3118301081096422,0.019154703850704207,0.48186110894754297,0.016725761127286534,0.472,0.03295451410656816,1.335576904531297,0.039522251135670095
smallworld,0.15,1.0,5,0.31213441353593807,0.018326764256097937,0.4820826655367819,0.0159860134922228,0.47000000000000003,0.036878177829171556,1.3723420554174042,0.04685942964618854
smallworld,0.35,2.5,5,0.222825299596213,0.04110281912511725,0.4178764031467378,0.049971239451404345,0.354,0.08702873088813831,2.862177472011719,0.21395416766199948
smallworld,0.35,2.625,5,0.2272540019071528,0.04325976559894936,0.42503287581813176,0.05234714818584754,0.34099999999999997,0.09536246641105714,2.972801877775285,0.2488329588402892
smallworld,0.35,2.75,5,0.2296373292201182,0.038509063408477914,0.42371920044977357,0.052408482136630685,0.344,0.11521284650593441,3.1540739598463032,0.29481712621526124
smallworld,0.35,2.875,5,0.23323351784242297,0.040072984261593,0.4281057280520513,0.05531707790264293,0.354,0.11863389060466659,3.319489460582331,0.3559527578294829
smallworld,0.35,3.0,5,0.2309548878744764,0.0445458038930379,0.4171408344210826,0.06501470847548219,0.38,0.10064790112068905,3.3486866767137706,0.38831035542808506
smallworld,0.35,3.125,5,0.22766692929863114,0.04280899083244243,0.4212402814689738,0.051759172602044,0.39,0.09370165420097983,3.4979821590773597,0.3900510612410196
smallworld,0.35,3.25,5,0.23294878444297265,0.04441666620393405,0.42812868729949544,0.05336124642791718,0.40499999999999997,0.15662056059151366,3.6700931528178473,0.44356777232193484
smallworld,0.35,3.375,5,0.22470135983343503,0.03771277356811911,0.41735920075161453,0.05387583085273348,0.34199999999999997,0.10585839598255775,3.737886865877745,0.47410532419542806
smallworld,0.35,3.5,5,0.21733024340668683,0.036327439893260455,0.4099316915751162,0.05123879787568692,0.34900000000000003,0.10608487168300673,3.9452245147357075,0.5509094447314883
smallworld,0.35,3.625,5,0.2134244064616994,0.037408768207866025,0.4098631329312501,0.05139658954624887,0.312,0.09589577675789482,4.1195103188463476,0.6598983987044824
smallworld,0.35,3.75,5,0.21046963145059383,0.04021408651608593,0.39726352148084687,0.05665276318364706,0.391,0.05257375771237967,4.303007909072368,0.6324480777616559
smallworld,0.35,3.875,5,0.21275792375628555,0.047956852880415256,0.40610000219156295,0.05748400801458294,0.29900000000000004,0.14701700581905483,4.479090230505625,0.7958242007754942
smallworld,0.35,4.0,5,0.21825312252852208,0.04194757123194641,0.41212674622309065,0.05146585533765351,0.292,0.1443814392503413,4.639228707521632,0.8107240781132814
